;pval;padj;log2err;ES;NES;size;leadingEdge
GSTO2;3,39E-05;0,005081588;0,557332239;-0,628895245;-2,305942875;24;cg08650507, cg25588914, cg26589669, cg17383262, cg08402107, cg23558438, cg25250998, cg00899160, cg03390723, cg02105002, cg17733466
RPP30;3,23E-05;0,005081588;0,557332239;-0,768696304;-2,288083031;13;cg02187457, cg17341374, cg20335283, cg17888792, cg12371386, cg00585558, cg05163348, cg13920824, cg19666937, cg14470741
RGS4;3,35E-05;0,005081588;0,557332239;-0,766851878;-2,282592956;13;cg07883149, cg20056654, cg23419190, cg06362030, cg04053572, cg01998006, cg09501516, cg15923350, cg12906188
HOXC11;3,42E-05;0,005081588;0,557332239;-0,800503008;-2,262221736;11;cg08962452, cg06630413, cg22709192, cg21777948, cg03132556, cg04369416, cg07123069, cg17225923, cg26386624
NRXN1;3,10E-05;0,005081588;0,557332239;-0,611217686;-2,257824329;25;cg15134685, cg25699602, cg03168108, cg13594075, cg11905658, cg05378233, cg03295083, cg22324022, cg25717438, cg10099415, cg03129600, cg13999106, cg05579077, cg09905811, cg00345522, cg05015185, cg18201351, cg23042011
CALML3;3,14E-05;0,005081588;0,557332239;-0,819237017;-2,249929206;10;cg12290655, cg24831879, cg09657197, cg08815773, cg11736657, cg07706776
BBS4;3,14E-05;0,005081588;0,557332239;-0,818798628;-2,248725227;10;cg11658652, cg00398637, cg19422230, cg25924688, cg25996835, cg20727290, cg13734221, cg00771574, cg10455214
SPI1;3,36E-05;0,005081588;0,557332239;-0,816373206;-2,242064116;10;cg22565340, cg07675031, cg04692506, cg10435245, cg06147863, cg16799223, cg16517172, cg03561330
ERH;3,89E-05;0,005660762;0,557332239;-0,674793777;-2,318489088;19;cg12006217, cg01517940, cg18165031, cg22294715, cg04509559, cg05195393, cg15358052, cg11633209, cg03328886, cg06867916, cg08562291, cg16322149
PRMT7;3,99E-05;0,005750966;0,557332239;0,636117828;2,092385698;23;cg04970945, cg06092312, cg26561196, cg19851348, cg26796563, cg15031162, cg27489346, cg07544189
MRPS18B;4,29E-05;0,006127883;0,557332239;-0,611507221;-2,313739382;26;cg00990221, cg25448947, cg18561902, cg19182468, cg24330922, cg12245402, cg09702881, cg00918762, cg16410241, cg00320625, cg23988749, cg23591342, cg02809877, cg26722322, cg18180874, cg03441461, cg12503292
PTGS2;4,38E-05;0,006133309;0,557332239;-0,794710887;-2,2458532;11;cg09461185, cg16101346, cg24887140, cg17419623, cg23070111, cg05412478, cg08482694, cg18335243, cg26564040
HIST1H3E;4,35E-05;0,006133309;0,557332239;-0,833718201;-2,230338617;9;cg22339775, cg16070018, cg26092675, cg24440941, cg26149875, cg13836098, cg12681972, cg26721439
HIST1H1D;4,61E-05;0,006400007;0,557332239;-0,887216198;-2,207765965;7;cg10638657, cg25267285, cg03761746, cg25091056, cg26775604, cg15689967
NCOA2;4,65E-05;0,006400007;0,557332239;0,601317005;2,103827132;29;cg05195377, cg02413312, cg04444450, cg27424108, cg10456591, cg14618411, cg14232793, cg06059854, cg16893488, cg11699755, cg12552823, cg08194293, cg09508632
EPB49;5,16E-05;0,006661168;0,557332239;-0,745559184;-2,301116098;14;cg26392737, cg19002763, cg14706739, cg00729699, cg03979241, cg12840024, cg16678564, cg03021802, cg00891025
TAL1;5,14E-05;0,006661168;0,557332239;-0,595229176;-2,282109084;27;cg05252749, cg26891410, cg19797376, cg11766986, cg19665732, cg18131548, cg06087421, cg06209689, cg10026317, cg02180010, cg00875272, cg03167717, cg15857764, cg06463365, cg25268605
ZIC1;5,14E-05;0,006661168;0,557332239;-0,5950086;-2,281263394;27;cg16181396, cg05700079, cg08070771, cg01227537, cg08855449, cg17546247, cg23449696, cg05371578, cg12419052, cg23189410, cg02647941, cg15002294, cg12965599, cg11142389, cg16636671, cg17280346, cg23468878, cg07291439
ZNF331;4,95E-05;0,006661168;0,557332239;-0,563434619;-2,266531005;33;cg06813140, cg06860848, cg17352157, cg03113572, cg11332363, cg10359230, cg26705425, cg15205507, cg03643149, cg25504654, cg20071427, cg21748418, cg06037110, cg06397398, cg07952047, cg06855497, cg17223707, cg20646939, cg03499639, cg06551490
NUDT12;5,11E-05;0,006661168;0,557332239;-0,830220195;-2,220980853;9;cg20279471, cg07655627, cg09166085, cg13665998, cg07666882, cg06105925, cg02976617, cg03073264
HOXA3;5,19E-05;0,006661168;0,557332239;-0,478641179;-2,093946391;47;cg26127662, cg03650946, cg07061298, cg15982700, cg00431187, cg09798023, cg08101036, cg12305431, cg01820751, cg16644023, cg02627455, cg00318947, cg07917150, cg07942135, cg12923919, cg15725372, cg09591524, cg11267546, cg24361385, cg02439266, cg14072564, cg25768734, cg23403004, cg22798849, cg12434681, cg13172549, cg00921266
PKP4;5,00E-05;0,006661168;0,557332239;0,612460269;2,094840152;27;cg08843298, cg00765721, cg01775379, cg00374388, cg00993543, cg16937173, cg16027706, cg17648451, cg17636869, cg03974400, cg07699740, cg10777934, cg26255253, cg07845927, cg03264934, cg06118487
ABCB5;5,19E-05;0,006661168;0,557332239;0,785106993;2,12154881;11;cg08888968, cg23626475, cg21643191, cg18150800, cg06281721, cg03770549, cg21202529, cg08486595
SNORA21;5,26E-05;0,006688968;0,557332239;-0,79210322;-2,238483931;11;cg04522531, cg14493980, cg19500949, cg24734422, cg16585530, cg12247247, cg05895714, cg08488737, cg00352360, cg10529789
RAB5B;5,50E-05;0,006938638;0,557332239;-0,706815756;-2,301991096;16;cg00611535, cg25981425, cg03511333, cg23200371, cg21041100, cg22708290, cg04302284, cg10929556, cg24693620, cg26207772, cg23779366, cg16167485, cg23594427, cg00164716
GABPA;5,69E-05;0,007118332;0,557332239;-0,598135369;-2,209498545;25;cg25085950, cg06164433, cg03497482, cg15707568, cg00324562, cg19547610, cg19891733, cg12545570, cg13428862, cg25694218, cg24167683, cg07795841, cg00106744, cg26131381, cg09651630, cg25797568, cg01957918
RPL32P3;6,05E-05;0,00750265;0,557332239;-0,935513168;-2,052953507;5;cg06150369, cg22178096, cg08798701, cg04069099, cg19990498
GPR21;6,64E-05;0,008115716;0,538434096;-0,856382493;-2,220653641;8;cg17790532, cg15441686, cg08251386, cg01568243, cg27160485, cg14115756
PLCB4;6,65E-05;0,008115716;0,538434096;0,612224116;2,078226433;26;cg27031864, cg25947253, cg25279093, cg25295273, cg11758280, cg15168017, cg19492010, cg26806367, cg08886490, cg03832855, cg08576827, cg09143713
SMC4;6,92E-05;0,008377452;0,538434096;-0,664163466;-2,281964951;19;cg21413448, cg00036114, cg22894434, cg04385305, cg19589040, cg16197648, cg25712763, cg07360893, cg16053434, cg24494008, cg22101465, cg10901031, cg01394089
TMEM63C;7,10E-05;0,008524813;0,538434096;-0,615517647;-2,203178512;22;cg19605575, cg24396540, cg20900312, cg22611515, cg27478704, cg13258190, cg21032058, cg00974415, cg15228518, cg13487102
SLC1A3;7,21E-05;0,008586457;0,538434096;-0,63881826;-2,253561493;21;cg11283983, cg15841415, cg25316853, cg16610086, cg07482508, cg06960901, cg21612334, cg25010361, cg11116429, cg26689886, cg02303571, cg21245981
ZCCHC2;7,35E-05;0,008694869;0,538434096;0,812155826;2,117635337;10;cg26223989, cg03524223, cg01628954, cg05296255, cg16707720, cg01631325, cg19104836
GNB2L1;8,29E-05;0,009729057;0,538434096;-0,775206334;-2,268638453;12;cg20192887, cg04819149, cg20741844, cg06900938, cg06905762, cg02214623, cg21595175, cg14113010, cg03639021, cg27591053
ATF6;8,44E-05;0,009828163;0,538434096;-0,775006863;-2,2680547;12;cg15735386, cg10309957, cg00365593, cg27519958, cg15771049, cg26591879, cg09175582, cg14946531
TNIP3;8,57E-05;0,009898062;0,538434096;0,825954398;2,079420636;9;cg02233041, cg06435926, cg20950277, cg16428086, cg11546574, cg23782308, cg08993143, cg02599325, cg19463078
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
