;pval;padj;log2err;ES;NES;size;leadingEdge
C14orf109;4,38E-05;0,005176076;0,557332239;0,828878454;2,201423526;10;cg23262020, cg23033759, cg14076496, cg22817198, cg05199950, cg19600328
SHISA9;4,54E-05;0,005323195;0,557332239;0,850131892;2,144648716;9;cg04557544, cg18578405, cg01995306, cg04106647, cg02482218
CORIN;4,72E-05;0,005497261;0,557332239;-0,884303434;-2,027888323;8;cg26018901, cg10005403, cg19736608, cg10464469, cg23214420, cg00022826
TMEM91;4,82E-05;0,005522608;0,557332239;-0,629026862;-2,046041554;32;cg12037898, cg08676425, cg25391752, cg13973063, cg02063076, cg16150105, cg14081474, cg12946214, cg05214042, cg17240086, cg00841035, cg21873261, cg17121761, cg04530860, cg26939377, cg05501508, cg17831002, cg03152092, cg24712108
VWC2;5,04E-05;0,005730058;0,557332239;0,784787267;2,192614302;12;cg01893212, cg04904331, cg02467990, cg15963901, cg09493505, cg18206027, cg00333226, cg05470523
NEK6;5,08E-05;0,00573774;0,557332239;-0,641862965;-2,052078409;29;cg13974765, cg14385362, cg08745506, cg11010932, cg08437729, cg14954575, cg07838324, cg26539301, cg05438152, cg14556677, cg14536906, cg21406003, cg13487666, cg24248548, cg07479368
SEP9;5,19E-05;0,005819476;0,557332239;-0,460764882;-1,852943518;102;cg09903452, cg15401418, cg07863022, cg25690715, cg20923885, cg23716141, cg05729480, cg07324245, cg26415789, cg19946734, cg00364907, cg02633924, cg26413730, cg24136318, cg19654743, cg05626616, cg03567381, cg14530006, cg07809934, cg04452095, cg25416067, cg18271897, cg12858577, cg20737828, cg01494352, cg16193196, cg20557159, cg06584448, cg02397064, cg18030101, cg23847314, cg18278424, cg00787166, cg17053854, cg25355534, cg12098949, cg01405751, cg15096327, cg07101841, cg09825241
UNC45A;5,24E-05;0,005832394;0,557332239;0,608103438;2,130553753;29;cg08267442, cg23056966, cg26170245, cg13778201, cg09254686, cg01351822, cg13615036, cg16414568, cg05096017, cg05107601, cg00655702, cg24374996, cg08551047, cg01066917
CALML3;5,46E-05;0,005961981;0,557332239;-0,843640465;-2,050945697;10;cg24831879, cg09657197, cg11736657, cg07706776, cg08815773, cg12290655
ADAM15;5,48E-05;0,005961981;0,557332239;0,910257004;2,026273666;6;cg16095542, cg04018299, cg22900705, cg23890506, cg00958409
VASH1;5,42E-05;0,005961981;0,557332239;0,730493742;2,179584961;16;cg11362042, cg11305077, cg26542404, cg24078363, cg24996930, cg18442587, cg22194356, cg23948080, cg13552742
FAM168B;5,52E-05;0,005961981;0,557332239;0,782882371;2,187292221;12;cg16240424, cg09006498, cg18275142, cg22890792, cg13246135, cg19611418, cg03328041, cg07485181
PF4;5,63E-05;0,006047882;0,557332239;0,943205134;1,967552957;5;cg16072462, cg05509609, cg21043213, cg06834998, cg15398841
PNPLA1;5,94E-05;0,006174437;0,557332239;-0,728558571;-2,058465848;18;cg12085959, cg05762579, cg22590568, cg03726060, cg21226512, cg03295490, cg11243251, cg22027204, cg18927901
GSDMA;5,91E-05;0,006174437;0,557332239;-0,916999978;-1,888290626;6;cg04756853, cg24092444, cg19422138, cg26162295, cg06532257
CLIP4;5,96E-05;0,006174437;0,557332239;0,675374347;2,171329281;21;cg12598768, cg03135351, cg02774855, cg08808128, cg02849511, cg05819240, cg15747402, cg04954926, cg20447120, cg25630687, cg06333058, cg23255835, cg23428985, cg26052635
GAL;5,95E-05;0,006174437;0,557332239;0,80700802;2,197994804;11;cg06269115, cg21075278, cg01545145, cg04739953, cg23009355, cg22370235, cg00226931
HTR2A;6,19E-05;0,006370761;0,538434096;-0,758829048;-2,060371634;15;cg27068143, cg06020661, cg09361691, cg09798090, cg09394608, cg10323433, cg01192538, cg11514288, cg16188532, cg20102280, cg03147723, cg15692052, cg05506829
GRM2;6,24E-05;0,006375872;0,538434096;-0,716323521;-2,085400146;20;cg07114886, cg14024077, cg13685294, cg10324572, cg25423647, cg13139998, cg02218260, cg23585673, cg26369050, cg22739025, cg10707626, cg14792912, cg00303541, cg11025960, cg25693132
UBA52;6,28E-05;0,006375872;0,538434096;0,776413999;2,255464883;13;cg14865907, cg18470852, cg21915765, cg07409674, cg24372325, cg25699533, cg00762326, cg11983051
SCRIB;6,52E-05;0,006582858;0,538434096;0,842755012;2,126038881;9;cg22251932, cg17150465, cg13527439, cg17368737, cg16797714, cg22232616, cg06943005, cg04286438
FXYD1;6,84E-05;0,006826647;0,538434096;-0,837512727;-2,03604876;10;cg16294662, cg17540545, cg26764421, cg26501313, cg27461196, cg06386920, cg04425701
GSTT1;6,86E-05;0,006826647;0,538434096;0,891899595;2,085021343;7;cg20064778, cg26946806, cg10546252, cg01957799, cg11478607
BLCAP;7,22E-05;0,007145038;0,538434096;-0,478050178;-1,872329289;86;cg23757721, cg26083330, cg21863334, cg00576435, cg04489586, cg07360805, cg20601276, cg17643025, cg18433380, cg03615235, cg22551578, cg25712981, cg18244708, cg00216901, cg15473473, cg22378853, cg24568194, cg14469070, cg20479660, cg11252765, cg20783699, cg19782411, cg13790727, cg09638930, cg01604401, cg25962605, cg03061677, cg23805857, cg18259290, cg22421148, cg09993814, cg14765818, cg19837275, cg22298088, cg01082601, cg09694610, cg24564503, cg22510412, cg24675557, cg17705814, cg09667649, cg22582721, cg23605670, cg12862537
FBXL14;7,31E-05;0,00718699;0,538434096;0,803441446;2,188280759;11;cg13513622, cg13977323, cg19809562, cg18448782, cg19617932, cg17150898, cg04337542, cg22151768, cg17356328, cg02249648, cg27470406
ZBTB20;7,59E-05;0,007363524;0,538434096;0,427800203;1,920772041;80;cg26912910, cg08263214, cg19981243, cg22695318, cg02564299, cg07317983, cg13470673, cg15612628, cg18142413, cg00570881, cg04564000, cg20387392, cg11130461, cg14847818, cg20521805, cg22367727, cg20349650, cg10995873, cg15677954, cg05475530, cg12907305, cg18537923, cg20941737, cg04809093, cg01389234, cg14668986, cg26922019, cg03779374, cg19370097, cg01480833, cg26100303, cg11682700, cg16560455, cg02331784, cg27273791, cg25364469, cg17552686, cg00844901, cg06671146, cg17875356, cg19717061, cg02194882, cg19013174, cg04917686, cg25735593, cg06225294
SMARCD3;7,55E-05;0,007363524;0,538434096;0,687031047;2,222131988;20;cg05139870, cg17949170, cg00981975, cg09162158, cg25495685, cg07901851, cg19786287, cg13542466, cg21266943, cg23110415, cg26375836
GPR21;7,68E-05;0,007390523;0,538434096;-0,876089385;-2,009051831;8;cg27160485, cg14115756, cg01568243, cg17790532, cg08251386, cg15441686
RING1;7,72E-05;0,007390523;0,538434096;0,691129;2,189173591;19;cg09869033, cg19356389, cg26106778, cg14363494, cg12065531, cg01878788, cg24550302, cg24536938, cg09724776, cg12115664, cg08892712, cg20505183, cg18486707, cg03341723
CASP8;7,95E-05;0,007514426;0,538434096;-0,667791226;-2,04956899;24;cg09464206, cg00978584, cg14347386, cg20418725, cg14962032, cg25576362, cg23882545, cg26799474, cg09792879, cg14845772, cg07322196
GJD4;7,96E-05;0,007514426;0,538434096;-0,874846935;-2,00620264;8;cg20732198, cg23900225, cg12630277, cg08541962, cg00168942
ZBTB7A;7,99E-05;0,007514426;0,538434096;0,686181963;2,219385714;20;cg19231244, cg01490283, cg02993991, cg22942838, cg19841405, cg24052148, cg02010868, cg04765236, cg04053969, cg03176143, cg02218768, cg08079694, cg18004427, cg10561472, cg18303175, cg10633491
ZNF536;8,06E-05;0,00752929;0,538434096;0,668023245;2,147695479;21;cg00386405, cg23331421, cg16043651, cg20883342, cg10428478, cg26406587, cg11953262, cg18680834, cg18722124, cg15539073, cg25815682, cg06000994, cg23458168, cg25699368, cg08188288, cg14914220
CPNE2;8,19E-05;0,007601387;0,538434096;0,722665699;2,156228314;16;cg08696890, cg12620532, cg01604043, cg10497653, cg10387662, cg08592313, cg21429174, cg00152942, cg13764914, cg02670686
FBN1;8,41E-05;0,007757891;0,538434096;0,800865729;2,18126545;11;cg03535663, cg04125371, cg22535307, cg00585626, cg09211701, cg19908534, cg10480343, cg15385562
TAGLN2;8,69E-05;0,007973141;0,538434096;-0,664707242;-2,062260587;25;cg01949073, cg21571466, cg17689921, cg04130057, cg22355352, cg08552900, cg03551964, cg13892570, cg06083604, cg14633426, cg04116858, cg03926784, cg08015159, cg13562386, cg18763326, cg16107628, cg08661227
ISM2;8,77E-05;0,007975418;0,538434096;0,866501062;2,093609773;8;cg06932612, cg16049707, cg15276358, cg06515865, cg16475755
CYP26B1;8,85E-05;0,007975418;0,538434096;0,838175366;2,114485693;9;cg20097440, cg25297992, cg17318467, cg04884908, cg15392489, cg13637213, cg07163401
VWA5B2;8,82E-05;0,007975418;0,538434096;0,799315358;2,177042804;11;cg18721026, cg00333034, cg12105765, cg23155810, cg15135638, cg20495429, cg27270388
ZDHHC14;8,99E-05;0,008052334;0,538434096;0,769605325;2,235685842;13;cg02079880, cg15779557, cg15599146, cg06077797, cg15401922, cg26391658, cg14615328, cg26223987, cg14235350, cg07180353, cg01112643, cg00502442
TNFAIP3;9,60E-05;0,008497876;0,538434096;0,651013739;2,106118171;22;cg18264753, cg08644612, cg18766583, cg15380607, cg20142871, cg20324953, cg05350993, cg23696891, cg08667148, cg10901280, cg05131254, cg16118476, cg09763362, cg09408629
PDE9A;9,88E-05;0,008544642;0,538434096;-0,562017519;-1,96405773;43;cg13879523, cg21601891, cg14113442, cg01828416, cg05807128, cg17317764, cg18220632, cg24303303, cg16784985, cg10706013, cg11267670, cg23997156, cg24704344, cg18975948, cg02881488, cg00516481, cg10919441, cg00118229, cg27160952, cg13560270, cg16117422, cg12855906, cg10796715
SQSTM1;9,78E-05;0,008544642;0,538434096;0,573971992;2,099101945;33;cg26999908, cg15420035, cg19100034, cg26432999, cg12702670, cg01325271, cg01055191, cg14446808, cg26659046, cg08836954, cg25009862, cg21302839, cg15747177, cg15126957, cg01152073
SEP4;9,81E-05;0,008544642;0,538434096;0,68668418;2,175094479;19;cg11738446, cg19759172, cg10641986, cg01287505, cg07874294, cg13262310, cg25885038, cg14830252, cg23330422
LOC401463;9,83E-05;0,008544642;0,538434096;0,768718452;2,233109496;13;cg00405554, cg22884051, cg00023185, cg11382529, cg11202131, cg14588078, cg23242862, cg26965597
MSL1;9,97E-05;0,008574801;0,538434096;0,812318675;2,157442304;10;cg23341567, cg10814176, cg12333112, cg02057783, cg03064167, cg23969309, cg22956015, cg23194024
DIO3;0,000104125;0,00890294;0,538434096;0,685612199;2,171698944;19;cg18301891, cg22325330, cg13126530, cg17557552, cg07193553, cg22688428, cg18804615, cg23354716, cg00328051, cg22799420
CPNE6;0,000105801;0,008995447;0,538434096;-0,829769414;-2,017224255;10;cg03523676, cg01545079, cg27607661, cg00931418, cg13373351, cg26753918, cg22502776, cg09794680
ABR;0,000111953;0,009435623;0,538434096;-0,51489434;-1,906496202;60;cg14608424, cg14748193, cg08632711, cg12422704, cg14957904, cg05895170, cg14335816, cg11230760, cg19517774, cg18831134, cg13786960, cg17018021, cg02103166, cg00440023, cg03062587, cg10687217, cg04163687, cg03131829, cg21950605, cg12159837, cg13147664, cg16722764, cg01912954, cg21410568, cg09434366, cg00199027, cg09909478, cg00267451
DUS2L;0,000112225;0,009435623;0,538434096;0,763837762;2,218931203;13;cg03079559, cg04960941, cg13665184, cg06140118, cg00805320, cg11289251, cg06703304, cg05567709, cg04528069, cg24654547
SGMS1;0,000114411;0,009513734;0,538434096;0,448040379;1,920369444;63;cg14184975, cg27438343, cg13382516, cg10188795, cg02379317, cg18776286, cg25575732, cg06942169, cg24004665, cg10034176, cg06744228, cg26413195, cg09801012, cg19876232, cg26665667, cg11764846, cg18316445, cg11962064, cg10208594, cg13799263, cg17054013, cg14123712, cg00620035, cg24199987
BHLHE23;0,000114059;0,009513734;0,538434096;0,808808693;2,148120122;10;cg03885271, cg04010387, cg27501878, cg01699217, cg14373923, cg26492446
FAM198B;0,000115987;0,009589517;0,538434096;-0,869518597;-1,993983673;8;cg03450635, cg24811290, cg24170465, cg12543949, cg02685990, cg03996539
STK33;0,00011659;0,009589517;0,538434096;0,661128573;2,125529101;21;cg20771178, cg12675870, cg03169390, cg00450824, cg00393798, cg08788717, cg26668837, cg24913504, cg03405315, cg17059791, cg23753247, cg21045608, cg23207483
GALNT11;0,000117295;0,009595386;0,538434096;0,677646189;2,19177762;20;cg15146720, cg08493879, cg22256974, cg20090312, cg17236067, cg05712610, cg19817445, cg00131853, cg27434954, cg02159402
NOL9;0,000119459;0,009667913;0,538434096;0,746589797;2,175348171;14;cg24105407, cg03046264, cg04093404, cg02724638, cg27531553, cg07997941, cg07399635, cg13351430, cg23963591, cg20125336, cg09513309, cg07274506, cg24047689
TAS1R1;0,000119459;0,009667913;0,538434096;0,746589797;2,175348171;14;cg24105407, cg03046264, cg04093404, cg02724638, cg27531553, cg07997941, cg07399635, cg13351430, cg23963591, cg20125336, cg09513309, cg07274506, cg24047689
WNT6;0,00012156;0,009733792;0,538434096;0,897586041;1,998067524;6;cg07714657, cg10000424, cg21838310, cg06157334, cg16256504, cg04201521
ARHGAP25;0,000124138;0,009836142;0,518848078;-0,76144436;-2,022923469;14;cg09493223, cg22553423, cg13339825, cg08991742, cg26238936, cg04905448, cg24204210, cg17661906, cg25887844, cg13284470, cg25070482, cg12093662, cg15700582, cg03654451
PKNOX2;0,000123581;0,009836142;0,518848078;-0,526291348;-1,919226299;55;cg04366300, cg22878091, cg20204939, cg12785040, cg14005065, cg20964304, cg08276815, cg00898880, cg04933914, cg10362455, cg14547895, cg15115522, cg13942538, cg04164023, cg13297609, cg15243163, cg22690321, cg10294703, cg17649443
